,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES ? use \n for newline,max length
actiondesc_homing,Causes the projectile to fly towards your foes,Заставляет снаряд лететь к врагам,Faz o projetil voar em direcao aos inimigos.,Hace que el proyectil persiga a los enemigos,"Bewirkt, dass das Projektil auf deine Feinde zufliegt",Fait voler le projectile vers vos adversaires,令投射物向?的?人?去,放射物が敵を追尾するようにする,미사일이 적이 있는 곳으로 유도됩니다.,,,,
action_homing_shooter,Boomerang,Бумеранг,Bumerangue,Bumeran,Bumerang,Boomerang,回旋?,ブ?メラン,부메랑,,,,
actiondesc_homing_shooter,Causes the projectile to fly towards you,Заставляет снаряд лететь к вам,Faz o projetil voar em sua direcao.,Hace que el proyectil vuele hacia ti,"Bewirkt, dass das Projektil auf dich zufliegt",Fait voler le projectile vers vous,令投射物?回?自己,放射物が自分に向かって飛ぶようにする,발사체가 내쪽으로 날아오게 합니다.,,,,
action_damage,Damage Plus,Повышение урона,Bonus de dano,Dano extra,Schadenserhohung,Degats supp.,?害增强,ダメ?ジプラス,피해 증가,,,,
actiondesc_damage,Increases the damage done by the spell,Увеличивает наносимый заклинанием урон,Aumenta o dano causado pelo feitico.,Aumenta el dano del hechizo,"Erhoht den Schaden, den Zauber verursachen",Augmente les degats causes par le sort,提高法?造成的?害,呪文によるダメ?ジを?加させる,주문의 피해량이 증가합니다.,,,,
action_critical_hit,Critical Plus,Повышение крит. шанса,Bonus de critico,Critico extra,Kritische Trefferchance-Erhohung,Critique supp.,暴?增强,クリティカルプラス,치명타 증가,,,,
actiondesc_critical_hit,Gives projectiles a +15% chance of a critical hit,Дает снаряду +15% к вероятности критического удара,Concede aos projeteis +15% de chance de um acerto critico.,Le da al proyectil un 15 % mas de probabilidad de critico,Erhoht die Chance auf kritische Treffer fur Projektile um +15 %,Donne aux projectiles +15 % de chances de coup critique,令投射物造成暴?的?率 +15%,放射物のクリティカルヒットの確率が+15%になる,발사체의 치명타 확률이 15% 증가합니다.,,,,
action_damage_friendly,Cunning power,Хитроумие,Poder de astucia,Poder malicioso,Raffinierte Kraft,Pouvoir sournois,巧妙之力,ずる賢いパワ?,교활한 힘,,,,
actiondesc_damage_friendly,"Extra projectile damage, but friendly fire is on","У снаряда повышен урон, но и действует огонь по своим","Dano extra de projetil, mas ativa o fogo amigo.","Dano extra del proyectil, pero se activa el fuego amigo","Erhohter Projektil-Schaden, aber Eigenbeschuss findet statt","Augmente les degats des projectiles, mais le tir ami est active",?外的投射物?害，但?造成友??害,追加の放射物ダメ?ジだが、味方の誤射がオンになっている,발사체 피해가 증가하는 대신 아군도 피격될 수 있습니다.,,,,
action_damage_x2,Intense power,Усиление,Poder intenso,Poder intenso,Starke Kraft,Pouvoir intense,强大之力,?烈なパワ?,강렬한 위력,,,,
actiondesc_damage_x2,Makes spells cast alongside it to deal double damage,Наложенные параллельно заклинания дают двойной урон,Faz feiticos lancados perto deste causarem o dobro do dano.,Hace que los hechizos lanzados con este causen el doble de dano,"Wirkt zusatzlich Zauber, um doppelten Schaden zuzufugen",Double les degats des sorts lances avec celui-ci,令?之施放的法?造成?倍?害,これと共に詠唱された呪文は2倍のダメ?ジを?える,주문의 피해량이 2배가 됩니다.,,,,
action_damage_x5,Sundering power,Мощное усиление,Poder de separacao,Poder desgarrador,Brechende Kraft,Pouvoir fracassant,分?之力,破?的パワ?,찢어발기는 위력,,,,
actiondesc_damage_x5,Makes spells cast alongside it to deal quintuple damage,Наложенные параллельно заклинания дают пятикратный урон,Faz feiticos lancados perto deste causarem o quintuplo do dano.,Hace que los hechizos lanzados con este causen cinco veces mas dano,"Wirkt zusatzlich Zauber, um funffachen Schaden zuzufugen",Quintuple les degats des sorts lances avec celui-ci,令?之施放的法?造成五倍?害,これと共に詠唱された呪文は5倍のダメ?ジを?える,주문의 피해량이 5배가 됩니다.,,,,
action_heavy_shot,Heavy Shot,Тяжелый выстрел,Lancamento pesado,Lanzamiento pesado,Schwerer Schuss,Tir lourd,?重一?,ヘビ?ショット,무거운 사격,,,,
actiondesc_heavy_shot,Greatly increases the damage done by the spell but reduces speed at which it flies,"Значительно повышает наносимый заклинанием урон, но снижает скорость снаряда","Aumenta bastante o dano causado pelo feitico, porem reduz a velocidade dele no ar.",Aumenta enormemente el dano del hechizo pero hace que este viaje mas despacio,"Erhoht den Schaden, den Zauber verursachen deutlich, aber reduziert die Fluggeschwindigkeit",Augmente grandement les degats causes par le sort mais reduit sa vitesse,大幅提高法?造成的?害，但降低法?的?行速度,呪文によるダメ?ジを大幅に?加させるが、飛ぶスピ?ドが減少する,주문의 피해량이 크게 증가하는 대신 날아가는 속도가 감소합니다.,,,,
action_knockback,Knockback,Отбрасывание,Empurrao,Empuje,Ruckschlag,Projection,?退,ノックバック,넉백,,,,
actiondesc_knockback,Knocks back foes hit with the projectile,При попадании снаряд отбрасывает врагов,Empurra inimigos com o projetil.,Empuja hacia atras a los enemigos golpeados,"Schlagt Feinde, die von dem Projektil getroffen wurden, zuruck",Projette les ennemis touches par le projectile,投射物命中的?人?被?退,この放射物に?たった敵をノックバックする,발사체로 적을 뒤로 밀어냅니다.,,,,
action_recoil,Recoil,Отдача,Recuo,Retroceso,Ruckstoß,Recul,后座力,反動,반동,,,,
actiondesc_recoil,Increases the recoil when casting the spell,Повышает отдачу при наложении заклинания,Aumenta o recuo ao lancar o feitico.,Aumenta el retroceso al lanzar el hechizo,Erhoht den Ruckstoß beim Wirken des Zaubers,Augmente le recul au lancement du sort,提高施放法??的后座力,呪文詠唱時の反動を?加させる,주문 시전 시 반동이 증가합니다.,,,,
action_recoil_damper,Recoil Damper,Амортизатор,Reducao de recuo,Amortiguador,Ruckstoßdampfer,Amortisseur de recul,后座阻尼器,反動緩衝器,반동 감쇄기,,,,
actiondesc_recoil_damper,Reduces the recoil when casting the spell,Снижает отдачу при наложении заклинания,Reduz o recuo ao lancar o feitico.,Reduce el retroceso al lanzar el hechizo,Reduziert den Ruckstoß beim Wirken des Zaubers,Reduit le recul au lancement du sort,降低施放法??的后座力,呪文詠唱時の反動を減少させる,주문 시전 시 반동이 감소합니다.,,,,
action_speed,Speed Up,Ускорение,Aceleracao,Velocidad aumentada,Beschleunigung,Acceleration,加速,スピ?ドアップ,속도 증가,,,,
actiondesc_speed,Increases the speed at which the projectile flies through the air,Повышает скорость полета снаряда по воздуху,Aumenta a velocidade do projetil no ar.,Aumenta la velocidad del proyectil,"Erhoht die Geschwindigkeit, mit der das Projektil durch die Luft fliegt",Augmente la vitesse de vol du projectile,加快投射物的?行速度,放射物が空中を飛ぶスピ?ドを?加させる,발사체가 날아가는 속도가 증가합니다.,,,,
action_gore,Draw blood,Отбор крови,Jorrar sangue,Desangrar,Blut abnehmen,Saigner,抽血,流血,피 뽑기,,,,
actiondesc_gore,Causes foes to spill more blood when hit with the projectile,Враги более теряют больше крови при попадании снаряда,Faz os inimigos jorrarem mais sangue ao serem atingido pelo projetil.,Hace que los enemigos expulsen mas sangre al ser alcanzados por el proyectil,"Bewirkt, dass Feinde mehr Blut verlieren, wenn sie von dem Projektil getroffen werden",Fait perdre plus de sang aux ennemis frappes par le projectile,?人被投射物?中???更多血液,放射物に?たった敵の流血量を?やす,발사체에 맞은 적이 더 많은 피를 흘립니다.,,,,
action_explosive_projectile,Getting diggy with it,Попробуй докопайся,Escavando com estilo,¡A excavar!,Hau weg den Dreck,Detruire en profondeur,深?,地表破?,다 부셔버려,,,,
actiondesc_explosive_projectile,Causes projectiles to be more destructive to the environment,Делает снаряды более разрушительными для окружения,Faz os projeteis serem mais destrutivos ao ambiente.,Los proyectiles destruyen mas facilmente el entorno,"Bewirkt, dass Projektile mehr Schaden an der Umgebung verursachen",Rend les projectiles plus destructeurs pour l'environnement,令投射物??境更具破?性,放射物の環境破?度を?やす,발사체가 주변 환경에 더 큰 파괴를 가합니다.,,,,
action_water_to_poison,Water to poison,Воду в яд,Da agua para o veneno,Agua en veneno,Wasser in Gift verwandeln,De l'eau au poison,化水?毒,水から毒へ,물에 독 타기,,,,
actiondesc_water_to_poison,Any water within range of the projectile turns into poison,Вода в радиусе действия снаряда превращается в яд,Qualquer agua proxima ao projetil vira veneno.,El agua cerca del proyectil se convierte en veneno,Wasser in Reichweite des Projektils verwandelt sich in Gift,Toute l'eau a portee du projectile se transforme en poison,投射物范??的所有水???毒液,放射物の範??にある水は全て毒になる,발사체 범위 안에 있는 액체가 모두 독성이 됩니다.,,,,
action_blood_to_acid,Blood to acid,Кровь в кислоту,Do sangue para o acido,Sangre en acido,Blut in Saure verwandeln,Du sang a l'acide,溶血?酸,血から酸へ,피를 산으로,,,,
actiondesc_blood_to_acid,Any blood within range of the projectile turns into acid,Кровь в радиусе действия снаряда превращается в кислоту,Qualquer sangue proximo ao projetil vira acido.,La sangre cerca del proyectil se convierte en acido,Blut in Reichweite des Projektils verwandelt sich in Saure,Tout le sang a portee du projectile se transforme en acide,投射物范??的所有血液??酸液,放射物の範??にある血は全て酸になる,발사체 범위 안에 있는 피가 모두 산성 물질이 됩니다.,,,,
action_lava_to_blood,Lava to blood,Лаву в кровь,Da lava para o sangue,Lava en sangre,Lava in Blut verwandeln,De la lave au sang,熔岩化血,溶岩から血へ,용암을 피로,,,,
actiondesc_lava_to_blood,Any lava within range of the projectile turns into blood,Лава в радиусе действия снаряда превращается в кровь,Qualquer lava proxima ao projetil vira sangue.,La lava cerca del proyectil se convierte en sangre,Lava in Reichweite des Projektils verwandelt sich in Blut,Toute la lave a portee du projectile se transforme en sang,投射物范??的所有岩???血液,放射物の範??にある溶岩は全て血になる,발사체 범위 안에 있는 용암이 모두 피가 됩니다.,,,,
action_necromancy,Necromancy,Некромантия,Necromancia,Nigromancia,Nekromantie,Necromancie,死?之?,?魔術,네크로맨서,,,,
actiondesc_necromancy,Causes the corpses of creatures killed by the projectile to rise to your aid,Заставляет убитые снарядом трупы восставать на вашу сторону,Faz os cadaveres das criaturas abatidas pelo projetil se levantarem em seu auxilio.,Los cadaveres de las criaturas que maten tus proyectiles se levantan para ayudarte,"Bewirkt, dass die Leichen von Kreaturen, die von dem Projektil getotet wurden, auferstehen und dir zur Hilfe eilen",Les corps des creatures tuees par le projectile se levent pour vous aider.,?活被投射物?死的生物尸?，?????所用,放射物によって殺された生物の死?を、あなたの援軍として呼び起こす,발사체에 죽은 적의 시체가 다시 일어나 플레이어를 지원합니다.,,,,
action_explosion,Explosion of sulphur,Взрыв серы,Explosao de enxofre,Explosion de azufre,Schwefel-Explosion,Explosion sulfurique,硫?爆炸,硫?爆?,황 폭발,,,,
actiondesc_explosion,A powerful explosion,Мощный взрыв,Uma explosao poderosa.,Una poderosa explosion,Eine machtige Explosion,Une puissante explosion,强力的爆炸,?力な爆破,강력한 폭발입니다.,,,,
action_fire_blast,Explosion of brimstone,Взрыв самородной серы,Explosao de fogo,Explosion de azufre,Sulfur-Explosion,Explosion de soufre,火焰爆炸,業火爆?,유황 폭발,,,,
actiondesc_fire_blast,A fiery explosion,Взрыв с огнем,Uma explosao flamejante.,Una explosion ardiente,Eine feurige Explosion,Une explosion brulante,?烈的爆炸,激烈な爆破,격렬한 폭발입니다.,,,,
action_poison_blast,Explosion of poison,Взрыв яда,Explosao de veneno,Explosion de veneno,Gift-Explosion,Explosion de poison,毒素爆炸,毒の爆?,독성 폭발,,,,
actiondesc_poison_blast,An alchemical explosion,Алхимический взрыв,Uma explosao alquimica.,Una explosion alquimica,Eine alchemistische Explosion,Une explosion alchimique,化?性的爆炸,?金術的爆破,화학적인 폭발입니다.,,,,
action_alcohol_blast,Explosion of spirits,Взрыв алкоголя,Explosao de espiritos,Explosion espirituosa,Hochprozentige Explosion,Explosion spiritueuse,烈酒爆炸,魂の爆?,술 폭발,,,,
actiondesc_alcohol_blast,An inebriating explosion,Пьянящий взрыв,Uma explosao inebriante.,Una explosion embriagadora,Eine berauschende Explosion,Une explosion enivrante,令人酩酊大醉的爆炸,高揚した爆破,취하게 하는 폭발입니다.,,,,
action_thunder_blast,Explosion of thunder,Взрыв молнии,Explosao de trovao,Explosion de trueno,Donner-Explosion,Explosion de foudre,雷霆爆炸,雷爆?,천둥 폭발,,,,
actiondesc_thunder_blast,An electric explosion,Электрический взрыв,Uma explosao eletrica.,Una explosion electrica,Eine elektrische Explosion,Une explosion electrique,??性?的爆炸,電?爆破,전기 폭발입니다.,,,,
action_charm_field,Circle of persuasion,Круг убеждения,Circulo da persuasao,Circulo de persuasion,Kreis der Uberzeugung,Cercle de persuasion,?服之?,信念の輪,설득의 고리,,,,
actiondesc_charm_field,A field of charming magic,Поле зачаровывающей магии,Um campo de magia encantadora.,Un campo de encantamiento magico,Ein Feld aus bezaubernder Magie,Un champ de magie de charme,迷惑魔法的?域,魅惑的な魔法のフィ?ルド,매료시키는 마법장입니다.,,,,
action_berserk_field,Circle of fervour,Круг рвения,Circulo do fervor,Circulo de fervor,Kreis der Leidenschaft,Cercle de ferveur,激情之?,熱情の輪,열정의 고리,,,,
actiondesc_berserk_field,A field of berserk magic,Поле магии неистовства,Um campo de magia da furia.,Un campo de magia berserker,Ein Feld aus Berserkermagie,Un champ de magie de berserker,狂暴魔法的?域,凶暴な魔法のフィ?ルド,버서커 마법장입니다.,,,,
action_polymorph_field,Circle of transmogrification,Круг метаморфоз,Circulo da transmogrificacao,Circulo de metamorfosis,Kreis der Verwandlung,Cercle de transmogrification,?形之?,奇?形の輪,짐승 변신의 고리,,,,
